species,plant_date,plant_type,dbh,plot_size
Pyrus kawakamii :: Evergreen Pear,1998-02-04 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,1998-02-04 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,1998-02-03 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,2000-04-19 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,1999-11-02 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,1999-11-18 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,1999-11-18 00:00:00.000000 UTC,Tree,3,3X4
Pyrus kawakamii :: Evergreen Pear,2006-03-11 00:00:00.000000 UTC,Tree,3,4x3
Pyrus kawakamii :: Evergreen Pear,2011-08-19 00:00:00.000000 UTC,Tree,3,5x5
Hymenosporum flavum :: Sweet Shade,2011-06-30 00:00:00.000000 UTC,Tree,3,6x3
Jacaranda mimosifolia :: Jacaranda,2011-11-03 00:00:00.000000 UTC,Tree,3,2x2
Ligustrum lucidum :: Glossy Privet,2006-03-11 00:00:00.000000 UTC,Tree,3,2X2
Melaleuca quinquenervia :: Cajeput,2001-02-20 00:00:00.000000 UTC,Tree,3,2X2
Melaleuca quinquenervia :: Cajeput,2015-01-30 12:54:00.000000 UTC,Tree,3,2x3
Melaleuca quinquenervia :: Cajeput,1997-04-22 00:00:00.000000 UTC,Tree,3,2x3
Melaleuca quinquenervia :: Cajeput,1997-04-22 00:00:00.000000 UTC,Tree,3,2x3
Melaleuca quinquenervia :: Cajeput,2004-02-04 00:00:00.000000 UTC,Tree,3,3X4
Melaleuca quinquenervia :: Cajeput,2004-02-04 00:00:00.000000 UTC,Tree,3,3X4
Melaleuca quinquenervia :: Cajeput,2004-02-03 00:00:00.000000 UTC,Tree,3,3X4
Acacia baileyana :: Bailey's Acacia,1998-04-10 00:00:00.000000 UTC,Tree,3,1X1
Acacia baileyana :: Bailey's Acacia,2016-08-17 00:00:00.000000 UTC,Tree,3,6x9
Eriobotrya deflexa :: Bronze Loquat,2005-11-11 00:00:00.000000 UTC,Tree,3,2X3
Eriobotrya deflexa :: Bronze Loquat,2013-04-06 00:00:00.000000 UTC,Tree,3,2x3
Eriobotrya deflexa :: Bronze Loquat,2014-03-01 00:00:00.000000 UTC,Tree,3,2x3
Eriobotrya deflexa :: Bronze Loquat,2016-05-10 00:00:00.000000 UTC,Tree,3,3X4
Quercus agrifolia :: Coast Live Oak,2006-03-23 00:00:00.000000 UTC,Tree,3,3x4
Prunus x yedoensis :: Yoshino Cherry,2009-12-30 00:00:00.000000 UTC,Tree,3,6X6
Ulmus 'Prospector' :: Prospector Elm,2006-03-23 00:00:00.000000 UTC,Tree,3,3X4
Ulmus 'Prospector' :: Prospector Elm,2006-03-23 00:00:00.000000 UTC,Tree,3,3X4
Ulmus 'Prospector' :: Prospector Elm,1997-06-06 00:00:00.000000 UTC,Tree,3,3X4
Ulmus 'Prospector' :: Prospector Elm,1998-02-09 00:00:00.000000 UTC,Tree,3,3X4
Lagunaria patersonii :: Primrose Tree,2015-07-03 07:50:00.000000 UTC,Tree,3,2X3
Lagunaria patersonii :: Primrose Tree,2009-01-27 00:00:00.000000 UTC,Tree,3,2X3
Lagunaria patersonii :: Primrose Tree,2009-01-30 00:00:00.000000 UTC,Tree,3,2X3
Lagunaria patersonii :: Primrose Tree,2007-12-21 00:00:00.000000 UTC,Tree,3,2X3
Lagunaria patersonii :: Primrose Tree,2015-08-20 18:02:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2008-02-24 00:00:00.000000 UTC,Tree,3,2X2
Lophostemon confertus :: Brisbane Box,2013-03-05 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,1995-01-20 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2015-04-24 15:05:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,1995-01-20 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2008-01-18 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2008-04-23 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2006-02-28 00:00:00.000000 UTC,Tree,3,2X3
Lophostemon confertus :: Brisbane Box,2008-02-28 00:00:00.000000 UTC,Tree,3,2X4
Lophostemon confertus :: Brisbane Box,2012-05-22 00:00:00.000000 UTC,Tree,3,2x2
Lophostemon confertus :: Brisbane Box,2000-03-01 00:00:00.000000 UTC,Tree,3,2x2
Lophostemon confertus :: Brisbane Box,1995-01-20 00:00:00.000000 UTC,Tree,3,2x3
Lophostemon confertus :: Brisbane Box,2004-03-22 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2004-03-22 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2014-06-09 23:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2004-03-22 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2000-04-06 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2016-02-02 10:24:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2016-02-02 10:20:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2014-09-04 15:03:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2001-11-29 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2008-03-14 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2001-11-29 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,1995-08-23 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2015-12-05 13:02:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-09 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2007-03-10 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,1995-08-23 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-09 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-09 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-09 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-09 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,1995-08-23 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2016-01-28 08:53:00.000000 UTC,Tree,3,3X4
Lophostemon confertus :: Brisbane Box,2016-01-28 08:47:00.000000 UTC,Tree,3,3x4
Lophostemon confertus :: Brisbane Box,2016-02-03 00:00:00.000000 UTC,Tree,3,3x5
Lophostemon confertus :: Brisbane Box,2016-03-23 14:28:00.000000 UTC,Tree,3,4X5
Lophostemon confertus :: Brisbane Box,2016-02-18 00:00:00.000000 UTC,Tree,3,4x6
Lophostemon confertus :: Brisbane Box,2016-03-01 14:06:00.000000 UTC,Tree,3,4x6
Lophostemon confertus :: Brisbane Box,2015-06-09 09:18:00.000000 UTC,Tree,3,4x7
